"","Sample","PVolume","Rep","OD","Moles","Date","Molepredict","ConcP"
"9","340",50,"1",0.185,"N/A","2_23",20.9629817856471,0.000419259635712942
"10","340",50,"2",0.182,"N/A","2_23",20.6230415404744,0.000412460830809488
"11","340",50,"3",0.199,"N/A","2_23",22.5493695964528,0.000450987391929056
"12","340",50,"4",0.042,"N/A","2_23",4.75916343241717,9.51832686483435e-05
"13","340",100,"1",0.384,"N/A","2_23",43.5123513820999,0.000435123513820999
"14","340",100,"2",0.373,"N/A","2_23",42.2659038164668,0.000422659038164668
"15","340",100,"3",0.395,"N/A","2_23",44.7587989477329,0.000447587989477329
"16","340",100,"4",0.101,"N/A","2_23",11.4446549208127,0.000114446549208127
"17","340",150,"1",0.521,"N/A","2_23",59.0362892449845,0.00039357526163323
"18","340",150,"2",0.555,"N/A","2_23",62.8889453569412,0.000419259635712942
"19","340",150,"3",0.573,"N/A","2_23",64.9285868279771,0.000432857245519848
"20","340",150,"4",0.126,"N/A","2_23",14.2774902972515,9.51832686483435e-05
"21","1.7",10,"1",0.284,"N/A","2_23",32.1810098763447,0.00321810098763447
"22","1.7",10,"2",0.22,"N/A","2_23",24.9289513126614,0.00249289513126614
"23","1.7",10,"3",0.213,"N/A","2_23",24.1357574072585,0.00241357574072585
"24","1.7",10,"4",0.175,"N/A","2_23",19.8298476350716,0.00198298476350716
"25","1.7",20,"1",0.805,"N/A","2_23",91.2172991213292,0.00456086495606646
"26","1.7",20,"2",0.482,"N/A","2_23",54.6170660577399,0.002730853302887
"27","1.7",20,"3",0.449,"N/A","2_23",50.8777233608407,0.00254388616804204
"28","1.7",20,"4",0.501,"N/A","2_23",56.7700209438334,0.00283850104719167
"29","1.7",40,"1",0.775,"N/A","2_23",87.8178966696026,0.00219544741674007
"30","1.7",40,"2",0.837,"N/A","2_23",94.8433284031708,0.00237108321007927
"31","1.7",40,"3",0.951,"N/A","2_23",107.761057719732,0.00269402644299329
"32","1.7",40,"4",0.984,"N/A","2_23",111.500400416631,0.00278751001041577
"91","340",50,"1",0.149,NA,"3_4",19.6246397201253,0.000392492794402507
"101","340",50,"2",0.008,NA,"3_4",1.0536719312819,2.10734386256379e-05
"111","340",50,"3",0.135,NA,"3_4",17.780713840382,0.00035561427680764
"121","340",50,"4",0.142,NA,"3_4",18.7026767802537,0.000374053535605073
"131","340",100,"1",0.373,NA,"3_4",49.1274537960184,0.000491274537960184
"141","340",100,"2",0.26,NA,"3_4",34.2443377666616,0.000342443377666616
"151","340",100,"3",0.292,NA,"3_4",38.4590254917892,0.000384590254917892
"161","340",100,"4",0.312,NA,"3_4",41.093205319994,0.00041093205319994
"171","340",150,"1",0.464,NA,"3_4",61.11297201435,0.000407419813429
"181","340",150,"2",0.516,NA,"3_4",67.9618395676823,0.000453078930451216
"191","340",150,"3",0.348,NA,"3_4",45.8347290107625,0.00030556486007175
"201","340",150,"4",0.5,NA,"3_4",65.8544957051185,0.000439029971367457
"211","1.7",10,"1",0.228,NA,"3_4",30.0296500415341,0.00300296500415341
"221","1.7",10,"2",0.22,NA,"3_4",28.9759781102522,0.00289759781102522
"231","1.7",10,"3",0.195,NA,"3_4",25.6832533249962,0.00256832533249962
"241","1.7",10,"4",0.225,NA,"3_4",29.6345230673033,0.00296345230673033
"251","1.7",20,"1",0.389,NA,"3_4",51.2347976585822,0.00256173988292911
"261","1.7",20,"2",0.316,NA,"3_4",41.6200412856349,0.00208100206428175
"271","1.7",20,"3",0.393,NA,"3_4",51.7616336242232,0.00258808168121116
"281","1.7",20,"4",0.435,NA,"3_4",57.2934112634531,0.00286467056317266
"291","1.7",40,"1",0.821,NA,"3_4",108.133081947805,0.00270332704869512
"301","1.7",40,"2",0.831,NA,"3_4",109.450171861907,0.00273625429654768
"311","1.7",40,"3",0.699,NA,"3_4",92.0645849957557,0.00230161462489389
"321","1.7",40,"4",0.716,NA,"3_4",94.3036378497297,0.00235759094624324
"92","340",50,"1",0.26,NA,"3_6",19.2648450921947,0.000385296901843895
"102","340",50,"2",0.263,NA,"3_6",19.4871317663354,0.000389742635326709
"112","340",50,"3",0.223,NA,"3_6",16.5233094444593,0.000330466188889187
"122","340",50,"4",0.286,NA,"3_6",21.1913296014142,0.000423826592028284
"132","340",100,"1",0.478,NA,"3_6",35.4176767464195,0.000354176767464195
"142","340",100,"2",0.516,NA,"3_6",38.2333079522018,0.000382333079522019
"152","340",100,"3",0.46,NA,"3_6",34.0839567015753,0.000340839567015753
"162","340",100,"4",0.638,NA,"3_6",47.272966033924,0.00047272966033924
"172","340",150,"1",0.725,NA,"3_6",53.7192795840045,0.00035812853056003
"182","340",150,"2",0.772,NA,"3_6",57.201770812209,0.00038134513874806
"192","340",150,"3",0.61,NA,"3_6",45.1982904086107,0.000301321936057405
"202","340",150,"4",0.855,NA,"3_6",63.3517021301019,0.000422344680867346
"212","1.7",10,"1",0.224,NA,"3_6",16.5974050025062,0.00165974050025062
"222","1.7",10,"2",0.299,NA,"3_6",22.1545718560239,0.00221545718560239
"232","1.7",10,"3",0.266,NA,"3_6",19.7094184404761,0.00197094184404762
"242","1.7",10,"4",0.242,NA,"3_6",17.9311250473505,0.00179311250473505
"252","1.7",20,"1",0.466,NA,"3_6",34.5285300498567,0.00172642650249284
"262","1.7",20,"2",0.447,NA,"3_6",33.1207144469656,0.00165603572234828
"272","1.7",20,"3",0.478,NA,"3_6",35.4176767464195,0.00177088383732098
"282","1.7",20,"4",0.526,NA,"3_6",38.9742635326709,0.00194871317663354
