"","Sample","PVolume","Rep","OD","Moles","Date","Molepredict","ConcP"
"9","1.7",10,"5T",0.406,NA,"3_20",27.5167774543081,0.00275167774543081
"10","1.7",20,"5T",0.734,NA,"3_20",49.7470804223206,0.00248735402111603
"11","1.7",40,"5T",1.481,NA,"3_20",100.37523992569,0.00250938099814226
"12","1.7",10,"DandC",0.395,NA,"3_20",26.7712490011126,0.00267712490011126
"13","1.7",20,"DandC",0.802,NA,"3_20",54.3558017693476,0.00271779008846738
"14","1.7",40,"DandC",1.501,NA,"3_20",101.730746204228,0.0025432686551057
"15","1.7",10,"D",0.399,NA,"3_20",27.0423502568201,0.00270423502568201
"16","1.7",20,"D",0.748,NA,"3_20",50.6959348172967,0.00253479674086484
"17","1.7",40,"D",1.505,NA,"3_20",102.001847459935,0.00255004618649838
"18","1.7",10,"4",0.323,NA,"3_20",21.8914263983781,0.00218914263983781
"19","1.7",20,"4",0.746,NA,"3_20",50.560384189443,0.00252801920947215
"20","1.7",40,"4",1.404,NA,"3_20",95.1565407533217,0.00237891351883304
"21","340",50,"DandC",0.327,NA,"3_20",22.1625276540856,0.000443250553081712
"22","340",100,"DandC",0.643,NA,"3_20",43.5795268549757,0.000435795268549757
"23","340",150,"DandC",1.046,NA,"3_20",70.8929783675032,0.000472619855783355
"24","340",50,"D",0.356,NA,"3_20",24.1280117579648,0.000482560235159295
"25","340",100,"D",0.705,NA,"3_20",47.7815963184414,0.000477815963184415
"26","340",150,"D",1.039,NA,"3_20",70.4185511700151,0.000469457007800101
"27","340",50,"4",0.274,NA,"3_20",18.5704360159616,0.000371408720319233
"28","340",100,"4",0.577,NA,"3_20",39.1063561358024,0.000391063561358024
"29","340",150,"4",0.808,NA,"3_20",54.7624536529088,0.000365083024352725
"91","1.7",10,"5T",0.371,NA,"3_22",22.0715118907973,0.00220715118907973
"101","1.7",20,"5T",0.56,NA,"3_22",33.3154896464865,0.00166577448232433
"111","1.7",40,"5T",1.5,NA,"3_22",89.2379186959461,0.00223094796739865
"121","1.7",10,"DandC",0.33,NA,"3_22",19.6323421131081,0.00196323421131081
"131","1.7",20,"DandC",0.765,NA,"3_22",45.5113385349325,0.00227556692674663
"141","1.7",10,"D",0.337,NA,"3_22",20.0487857336892,0.00200487857336892
"151","1.7",20,"D",0.518,NA,"3_22",30.8168279230001,0.00154084139615
"161","1.7",10,"4",0.377,NA,"3_22",22.4284635655811,0.00224284635655811
"171","1.7",20,"4",0.781,NA,"3_22",46.4632096676893,0.00232316048338446
"181","340",50,"DandC",0.293,NA,"3_22",17.4311401186081,0.000348622802372163
"191","340",100,"DandC",0.618,NA,"3_22",36.7660225027298,0.000367660225027298
"201","340",50,"D",0.259,NA,"3_22",15.4084139615,0.000308168279230001
"211","340",100,"D",0.683,NA,"3_22",40.6329989795541,0.000406329989795541
"221","340",50,"4",0.188,NA,"3_22",11.1844858098919,0.000223689716197838
"231","340",100,"4",0.524,NA,"3_22",31.1737795977838,0.000311737795977838
"92","1.7",10,"5T",0.353,NA,"3_29",22.954919502429,0.0022954919502429
"102","1.7",20,"5T",0.69,NA,"3_29",44.8693893956828,0.00224346946978414
"112","1.7",40,"5T",1.439,NA,"3_29",93.5754367251995,0.00233938591812999
"122","1.7",10,"DandC",0.336,NA,"3_29",21.8494417926803,0.00218494417926803
"132","1.7",20,"DandC",0.676,NA,"3_29",43.9589959876545,0.00219794979938273
"142","1.7",40,"DandC",1.384,NA,"3_29",89.9988911936595,0.00224997227984149
"152","1.7",10,"D",0.356,NA,"3_29",23.1500038041494,0.00231500038041494
"162","1.7",20,"D",0.692,NA,"3_29",44.9994455968298,0.00224997227984149
"172","1.7",40,"D",1.337,NA,"3_29",86.9425704667072,0.00217356426166768
"182","1.7",10,"4",0.379,NA,"3_29",24.6456501173388,0.00246456501173388
"192","1.7",20,"4",0.71,NA,"3_29",46.1699514071519,0.0023084975703576
"202","1.7",40,"4",1.417,NA,"3_29",92.1448185125835,0.00230362046281459
"212","340",50,"DandC",0.277,NA,"3_29",18.0127838588466,0.000360255677176932
"222","340",100,"DandC",0.643,NA,"3_29",41.8130686687305,0.000418130686687305
